,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
217,Johns Hopkins University,COURSE,4.7,Mixed,67k
218,Michigan State University,COURSE,4.7,Mixed,97k
219,The University of Sydney,COURSE,4.6,Intermediate,19k
220,Google Cloud,SPECIALIZATION,4.6,Intermediate,16k
221,Google Cloud,SPECIALIZATION,4.7,Intermediate,300k
222,Google Cloud,SPECIALIZATION,4.8,Intermediate,4k
223,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,8k
224,Berklee College of Music,COURSE,4.8,Mixed,41k
225,Berklee College of Music,SPECIALIZATION,4.8,Beginner,54k
226,Ticket for Change,COURSE,4.7,Mixed,54k
227,University of Colorado Boulder,SPECIALIZATION,4.4,Beginner,9k
228,Lund University,COURSE,4.5,Beginner,21k
229,University at Buffalo,SPECIALIZATION,4.6,Beginner,37k
230,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,380k
231,University of Illinois at Urbana-Champaign,COURSE,4.4,Mixed,57k
232,University of Virginia,SPECIALIZATION,4.7,Beginner,140k
233,University of Virginia,COURSE,4.7,Beginner,58k
234,University of Alberta,COURSE,4.5,Beginner,35k
235,The University of Melbourne,COURSE,4.9,Intermediate,40k
236,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner,4k
237,Pontificia Universidad Católica de Chile,COURSE,4.9,Beginner,21k
238,Stanford University,COURSE,4.8,Intermediate,130k
239,Duke University,COURSE,4.6,Mixed,150k
240,Erasmus University Rotterdam,COURSE,4.8,Beginner,5.6k
241,University of California San Diego,COURSE,4.7,Beginner,17k
242,University of California San Diego,COURSE,4.6,Beginner,39k
243,University of Washington,SPECIALIZATION,4.7,Beginner,110k
244,University of Colorado System,COURSE,4.8,Beginner,7.1k
245,American Museum of Natural History,COURSE,4.8,Intermediate,18k
246,Erasmus University Rotterdam,COURSE,4.7,Mixed,110k
247,Columbia University,COURSE,4.9,Mixed,83k
248,University of Geneva,COURSE,4.7,Intermediate,16k
249,University of Pennsylvania,COURSE,4.9,Mixed,3.4k
250,Universitat Autònoma de Barcelona,COURSE,4.9,Beginner,46k
251,Universidad Austral,COURSE,5.0,Beginner,1.5k
252,Google Cloud,COURSE,4.7,Intermediate,57k
253,Duke University,COURSE,4.8,Beginner,12k
254,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,110k
255,Yonsei University,SPECIALIZATION,4.6,Beginner,17k
256,University at Buffalo,SPECIALIZATION,4.7,Beginner,37k
257,New York University,COURSE,4.8,Beginner,14k
258,Rice University,COURSE,4.7,Beginner,23k
259,Duke University,COURSE,4.6,Beginner,200k
260,University of Pennsylvania,COURSE,4.8,Beginner,230k
261,University of Pennsylvania,COURSE,4.8,Mixed,760k
262,University of Pennsylvania,COURSE,4.8,Mixed,130k
263,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,42k
264,University of Pennsylvania,COURSE,4.8,Beginner,110k
265,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner,2.4k
266,Duke University,SPECIALIZATION,4.5,Intermediate,7.9k
267,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110k
268,University of Pennsylvania,COURSE,4.8,Mixed,86k
269,University of Pennsylvania,COURSE,4.8,Mixed,38k
270,University of Pennsylvania,COURSE,4.7,Beginner,31k
271,HEC Paris,COURSE,4.8,Beginner,20k
272,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,69k
273,The Pennsylvania State University,COURSE,4.8,Mixed,45k
274,University of Pittsburgh,COURSE,4.7,Mixed,23k
275,Imperial College London,SPECIALIZATION,4.7,Beginner,6.4k
276,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k
277,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed,130k
278,The University of Melbourne,COURSE,4.8,Mixed,35k
279,"University of California, Davis",COURSE,4.8,Beginner,7.2k
280,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,1.8k
281,Johns Hopkins University,COURSE,4.7,Beginner,14k
282,Google Cloud,COURSE,4.7,Intermediate,68k
283,Google Cloud,COURSE,4.7,Intermediate,83k
284,The George Washington University,COURSE,4.8,Intermediate,4.1k
285,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,54k
286,Yale University,COURSE,4.8,Mixed,31k
287,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,27k
288,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner,13k
289,University of Colorado Boulder,COURSE,4.8,Beginner,11k
290,Yale University,COURSE,4.9,Beginner,86k
291,Macquarie University,SPECIALIZATION,4.9,Beginner,240k
292,Macquarie University,COURSE,4.7,Intermediate,39k
293,Macquarie University,COURSE,4.9,Beginner,200k
294,Macquarie University,COURSE,4.9,Intermediate,76k
295,Macquarie University,COURSE,4.8,Intermediate,39k
296,Duke University,SPECIALIZATION,4.6,Beginner,490k
297,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,56k
298,University of Colorado Boulder,COURSE,4.8,Beginner,54k
299,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,170k
300,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,28k
301,The Museum of Modern Art,COURSE,4.8,Beginner,180k
302,"University of California, Santa Cruz",COURSE,4.8,Beginner,18k
303,Duke University,COURSE,4.8,Beginner,9.7k
304,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,13k
305,University of Pennsylvania,COURSE,4.7,Beginner,12k
306,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260k
307,Rice University,COURSE,4.8,Beginner,69k
308,Emory University,COURSE,4.4,Intermediate,12k
309,University of Virginia,COURSE,4.8,Beginner,65k
310,University of Pennsylvania,COURSE,4.5,Beginner,10k
311,Columbia University,COURSE,4.6,Mixed,100k
312,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,76k
313,Yale University,COURSE,4.8,Beginner,470k
314,Indian School of Business,SPECIALIZATION,4.5,Beginner,60k
315,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k
316,University of Michigan,SPECIALIZATION,4.7,Beginner,6.5k
317,Università Bocconi,COURSE,4.8,Mixed,24k
318,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30k
319,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,310k
320,University of Michigan,COURSE,4.7,Beginner,36k
321,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20k
322,Yonsei University,COURSE,4.9,Beginner,400k
323,Università Bocconi,COURSE,4.8,Mixed,57k
324,West Virginia University,COURSE,4.7,Mixed,42k
325,Universidad de los Andes,COURSE,4.9,Intermediate,4.4k
326,University of Michigan,SPECIALIZATION,4.8,Beginner,14k
327,University of Virginia,COURSE,4.8,Beginner,63k
328,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,62k
329,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k
330,IESE Business School,SPECIALIZATION,4.8,Beginner,64k
331,Emory University,SPECIALIZATION,4.2,Intermediate,27k
332,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89k
333,Imperial College London,SPECIALIZATION,4.8,Beginner,3.2k
334,Google Cloud,SPECIALIZATION,4.6,Beginner,26k
335,The University of Tokyo,COURSE,4.8,Beginner,52k
336,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate,45k
337,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate,89k
338,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,150k
339,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,140k
340,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,170k
341,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate,220k
342,Johns Hopkins University,COURSE,4.6,Beginner,30k
343,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39k
344,Rice University,SPECIALIZATION,4.8,Beginner,200k
345,Georgia Institute of Technology,COURSE,4.7,Mixed,49k
346,"University of California, Davis",COURSE,4.8,Beginner,86k
347,California Institute of the Arts,COURSE,4.8,Beginner,290k
348,Rice University,SPECIALIZATION,4.7,Intermediate,20k
349,Rice University,COURSE,4.7,Intermediate,18k
350,The University of Edinburgh,COURSE,4.6,Beginner,180k
351,University of Virginia,COURSE,4.7,Beginner,120k
352,University of Pennsylvania,COURSE,4.6,Mixed,110k
353,University of Alberta,COURSE,4.8,Intermediate,22k
354,"University of California, Davis",COURSE,4.5,Beginner,81k
355,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25k
356,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner,56k
357,Universidad Austral,COURSE,4.7,Beginner,150k
